sip dip sport dport size(B) start_time fct(ns) standalone_fct(ns) end_time src dst maxQps tag
0b000401 0b000c01 10000 100 1000000 150 9382516 8456000 9382666 4 12 1 0
0b000c01 0b000401 10000 100 1000000 150 9457608 8456000 9457758 12 4 1 0
0b000701 0b000f01 10000 100 1000000 150 14479636 8456000 14479786 7 15 1 0
0b000f01 0b000701 10000 100 1000000 150 14571304 8456000 14571454 15 7 1 0
0b000801 0b000001 10000 100 1000000 150 23083080 8456000 23083230 8 0 1 0
0b000001 0b000801 10000 100 1000000 150 23125020 8456000 23125170 0 8 1 0
0b000d01 0b000501 10000 100 1000000 150 24872788 8456000 24872938 13 5 1 0
0b000101 0b000901 10000 100 1000000 150 24914728 8456000 24914878 1 9 1 0
0b000601 0b000e01 10000 100 1000000 150 24967456 8456000 24967606 6 14 1 0
0b000201 0b000a01 10000 100 1000000 150 25444660 8456000 25444810 2 10 1 0
0b000a01 0b000201 10000 100 1000000 150 25495888 8456000 25496038 10 2 1 0
0b000b01 0b000301 10000 100 1000000 150 33214016 8456000 33214166 11 3 1 0
0b000e01 0b000601 10000 100 1000000 150 41432212 8456000 41432362 14 6 1 0
0b000901 0b000101 10000 100 1000000 150 41493728 8456000 41493878 9 1 1 0
0b000301 0b000b01 10000 100 1000000 150 41517592 8456000 41517742 3 11 1 0
0b000501 0b000d01 10000 100 1000000 150 49790016 8456000 49790166 5 13 1 0
0b000f01 0b000b01 10000 100 2000000 49790316 16626228 16804000 66416544 15 11 1 0
0b000701 0b000301 10000 100 2000000 49790316 16626228 16804000 66416544 7 3 1 0
0b000001 0b000401 10000 100 2000000 49790316 16626228 16804000 66416544 0 4 1 0
0b000801 0b000c01 10000 100 2000000 49790316 16626228 16804000 66416544 8 12 1 0
0b000e01 0b000a01 10000 100 2000000 49790316 33194440 16804000 82984756 14 10 1 0
0b000601 0b000201 10000 100 2000000 49790316 33194440 16804000 82984756 6 2 1 0
0b000101 0b000501 10000 100 2000000 49790316 33194440 16804000 82984756 1 5 1 0
0b000901 0b000d01 10000 100 2000000 49790316 33194440 16804000 82984756 9 13 1 0
0b000d01 0b000901 10000 100 2000000 49790316 49762652 16804000 99552968 13 9 1 0
0b000501 0b000101 10000 100 2000000 49790316 49762652 16804000 99552968 5 1 1 0
0b000201 0b000601 10000 100 2000000 49790316 49762652 16804000 99552968 2 6 1 0
0b000a01 0b000e01 10000 100 2000000 49790316 49762652 16804000 99552968 10 14 1 0
0b000c01 0b000801 10000 100 2000000 49790316 66330864 16804000 116121180 12 8 1 0
0b000401 0b000001 10000 100 2000000 49790316 66330864 16804000 116121180 4 0 1 0
0b000301 0b000701 10000 100 2000000 49790316 66330864 16804000 116121180 3 7 1 0
0b000b01 0b000f01 10000 100 2000000 49790316 66330864 16804000 116121180 11 15 1 0
0b000b01 0b000901 10000 100 4000000 116121330 33169076 33554000 149290406 11 9 1 0
0b000301 0b000101 10000 100 4000000 116121330 33169076 33554000 149290406 3 1 1 0
0b000401 0b000601 10000 100 4000000 116121330 33169076 33554000 149290406 4 6 1 0
0b000c01 0b000e01 10000 100 4000000 116121330 33169076 33554000 149290406 12 14 1 0
0b000801 0b000a01 10000 100 4000000 116121330 33169076 33554000 149290406 8 10 1 0
0b000001 0b000201 10000 100 4000000 116121330 33169076 33554000 149290406 0 2 1 0
