sip dip sport dport size(B) start_time fct(ns) standalone_fct(ns) end_time src dst maxQps tag
0b000001 0b000801 10000 100 16000 150 80004190624 160008198144 80004190774 0 8 1 0
0b000101 0b000901 10000 100 16000 150 80004190624 160008198144 80004190774 1 9 1 0
0b000201 0b000a01 10000 100 16000 150 80004190624 160008198144 80004190774 2 10 1 0
0b000301 0b000b01 10000 100 16000 150 80004190624 160008198144 80004190774 3 11 1 0
0b000401 0b000c01 10000 100 16000 150 80004190624 160008198144 80004190774 4 12 1 0
0b000501 0b000d01 10000 100 16000 150 80004190624 160008198144 80004190774 5 13 1 0
0b000601 0b000e01 10000 100 16000 150 80004190624 160008198144 80004190774 6 14 1 0
0b000701 0b000f01 10000 100 16000 150 80004190624 160008198144 80004190774 7 15 1 0
0b000801 0b000001 10000 100 16000 150 80004190624 160008198144 80004190774 8 0 1 0
0b000901 0b000101 10000 100 16000 150 80004190624 160008198144 80004190774 9 1 1 0
0b000a01 0b000201 10000 100 16000 150 80004190624 160008198144 80004190774 10 2 1 0
0b000b01 0b000301 10000 100 16000 150 80004190624 160008198144 80004190774 11 3 1 0
0b000c01 0b000401 10000 100 16000 150 80004190624 160008198144 80004190774 12 4 1 0
0b000d01 0b000501 10000 100 16000 150 80004190624 160008198144 80004190774 13 5 1 0
0b000e01 0b000601 10000 100 16000 150 80004190624 160008198144 80004190774 14 6 1 0
0b000f01 0b000701 10000 100 16000 150 80004190624 160008198144 80004190774 15 7 1 0
0b000801 0b000c01 10000 100 32000 80004190924 40002290080 80004300288 120006481004 8 12 1 0
0b000901 0b000d01 10000 100 32000 80004190924 40002290080 80004300288 120006481004 9 13 1 0
0b000a01 0b000e01 10000 100 32000 80004190924 40002290080 80004300288 120006481004 10 14 1 0
0b000b01 0b000f01 10000 100 32000 80004190924 40002290080 80004300288 120006481004 11 15 1 0
0b000c01 0b000801 10000 100 32000 80004190924 40002290080 80004300288 120006481004 12 8 1 0
0b000d01 0b000901 10000 100 32000 80004190924 40002290080 80004300288 120006481004 13 9 1 0
0b000e01 0b000a01 10000 100 32000 80004190924 40002290080 80004300288 120006481004 14 10 1 0
0b000f01 0b000b01 10000 100 32000 80004190924 40002290080 80004300288 120006481004 15 11 1 0
0b000001 0b000401 10000 100 32000 80004190924 40002290080 80004300288 120006481004 0 4 1 0
0b000101 0b000501 10000 100 32000 80004190924 40002290080 80004300288 120006481004 1 5 1 0
0b000201 0b000601 10000 100 32000 80004190924 40002290080 80004300288 120006481004 2 6 1 0
0b000301 0b000701 10000 100 32000 80004190924 40002290080 80004300288 120006481004 3 7 1 0
0b000401 0b000001 10000 100 32000 80004190924 40002290080 80004300288 120006481004 4 0 1 0
0b000501 0b000101 10000 100 32000 80004190924 40002290080 80004300288 120006481004 5 1 1 0
0b000601 0b000201 10000 100 32000 80004190924 40002290080 80004300288 120006481004 6 2 1 0
0b000701 0b000301 10000 100 32000 80004190924 40002290080 80004300288 120006481004 7 3 1 0
0b000c01 0b000e01 10000 100 64000 120006481154 20001538720 40002552576 140008019874 12 14 1 0
0b000d01 0b000f01 10000 100 64000 120006481154 20001538720 40002552576 140008019874 13 15 1 0
0b000e01 0b000c01 10000 100 64000 120006481154 20001538720 40002552576 140008019874 14 12 1 0
0b000f01 0b000d01 10000 100 64000 120006481154 20001538720 40002552576 140008019874 15 13 1 0
0b000801 0b000a01 10000 100 64000 120006481154 20001538720 40002552576 140008019874 8 10 1 0
0b000901 0b000b01 10000 100 64000 120006481154 20001538720 40002552576 140008019874 9 11 1 0
0b000a01 0b000801 10000 100 64000 120006481154 20001538720 40002552576 140008019874 10 8 1 0
0b000b01 0b000901 10000 100 64000 120006481154 20001538720 40002552576 140008019874 11 9 1 0
0b000401 0b000601 10000 100 64000 120006481154 20001538720 40002552576 140008019874 4 6 1 0
0b000501 0b000701 10000 100 64000 120006481154 20001538720 40002552576 140008019874 5 7 1 0
0b000601 0b000401 10000 100 64000 120006481154 20001538720 40002552576 140008019874 6 4 1 0
0b000701 0b000501 10000 100 64000 120006481154 20001538720 40002552576 140008019874 7 5 1 0
0b000001 0b000201 10000 100 64000 120006481154 20001538720 40002552576 140008019874 0 2 1 0
0b000101 0b000301 10000 100 64000 120006481154 20001538720 40002552576 140008019874 1 3 1 0
0b000201 0b000001 10000 100 64000 120006481154 20001538720 40002552576 140008019874 2 0 1 0
0b000301 0b000101 10000 100 64000 120006481154 20001538720 40002552576 140008019874 3 1 1 0
0b000e01 0b000f01 10000 100 128000 140008020024 10001560864 20002081152 150009580888 14 15 1 0
0b000f01 0b000e01 10000 100 128000 140008020024 10001560864 20002081152 150009580888 15 14 1 0
0b000c01 0b000d01 10000 100 128000 140008020024 10001560864 20002081152 150009580888 12 13 1 0
0b000d01 0b000c01 10000 100 128000 140008020024 10001560864 20002081152 150009580888 13 12 1 0
0b000a01 0b000b01 10000 100 128000 140008020024 10001560864 20002081152 150009580888 10 11 1 0
0b000b01 0b000a01 10000 100 128000 140008020024 10001560864 20002081152 150009580888 11 10 1 0
0b000801 0b000901 10000 100 128000 140008020024 10001560864 20002081152 150009580888 8 9 1 0
0b000901 0b000801 10000 100 128000 140008020024 10001560864 20002081152 150009580888 9 8 1 0
0b000601 0b000701 10000 100 128000 140008020024 10001560864 20002081152 150009580888 6 7 1 0
0b000701 0b000601 10000 100 128000 140008020024 10001560864 20002081152 150009580888 7 6 1 0
0b000401 0b000501 10000 100 128000 140008020024 10001560864 20002081152 150009580888 4 5 1 0
0b000501 0b000401 10000 100 128000 140008020024 10001560864 20002081152 150009580888 5 4 1 0
0b000201 0b000301 10000 100 128000 140008020024 10001560864 20002081152 150009580888 2 3 1 0
0b000301 0b000201 10000 100 128000 140008020024 10001560864 20002081152 150009580888 3 2 1 0
0b000001 0b000101 10000 100 128000 140008020024 10001560864 20002081152 150009580888 0 1 1 0
0b000101 0b000001 10000 100 128000 140008020024 10001560864 20002081152 150009580888 1 0 1 0
